State,Name of the ULB,Total Population 2011
UTTAR PRADESH,Deoband (NPP),97037
UTTAR PRADESH,Dhampur (NPP),50997
UTTAR PRADESH,Faridpur (NPP),78249
UTTAR PRADESH,Gajraula (NP),55048
UTTAR PRADESH,Gangaghat (NPP),84072
UTTAR PRADESH,Gangoh (NPP),59279
UTTAR PRADESH,Gola Gokaran Nath (NPP),60172
UTTAR PRADESH,Gulaothi (NPP),50823
UTTAR PRADESH,Hasanpur (NPP),61243
UTTAR PRADESH,Jahangirabad (NPP),59858
UTTAR PRADESH,Jalaun (NPP),56909
UTTAR PRADESH,Kairana (NPP),89000
UTTAR PRADESH,Kalpi (NPP),51670
UTTAR PRADESH,Kannauj (NPP),84862
UTTAR PRADESH,Khatauli (NPP),72949
UTTAR PRADESH,Kiratpur (NPP),61186
UTTAR PRADESH,Konch (NPP),53412
UTTAR PRADESH,Kosi Kalan (NPP),53307
UTTAR PRADESH,Laharpur (NPP),61990
UTTAR PRADESH,Mahmudabad (NPP),50777
UTTAR PRADESH,Mahoba (NPP),95216
UTTAR PRADESH,Mauranipur (NPP),58229
UTTAR PRADESH,Mawana (NPP),81443
UTTAR PRADESH,Mubarakpur (NPP),70463
UTTAR PRADESH,Muradnagar (NPP),95208
UTTAR PRADESH,Nagina (NPP),95246
UTTAR PRADESH,Najibabad (NPP),88535
UTTAR PRADESH,Nawabganj (NPP),81163
UTTAR PRADESH,Pilkhuwa (NPP),83736
UTTAR PRADESH,Rath (NPP),65056
UTTAR PRADESH,Sahaswan (NPP),66204
UTTAR PRADESH,Sandila (NPP),58346
UTTAR PRADESH,Sardhana (NPP),58252
UTTAR PRADESH,Shahabad (NPP),80226
UTTAR PRADESH,Sherkot (NPP),62226
UTTAR PRADESH,Sikandrabad (NPP),81028
UTTAR PRADESH,Tanda (NPP),95516
UTTAR PRADESH,Tilhar (NPP),61444
UTTAR PRADESH,Tundla (NPP),50423
UTTAR PRADESH,Ujhani (NPP),62039
UTTAR PRADESH,Vrindavan (NPP),63005
UTTARAKHAND,Jaspur (NPP),50523
UTTARAKHAND,Manglaur (NPP),52971
UTTARAKHAND,Pithoragarh (NPP),56044
UTTARAKHAND,Ramnagar (NPP),54787
UTTARAKHAND,Rishikesh (NPP),70499
WEST BENGAL,Alipurduar (M),65232
WEST BENGAL,Arambag (M),66175
WEST BENGAL,Baduria (M),52493
WEST BENGAL,Baruipur (M),53128
WEST BENGAL,Bishnupur (M),67783
WEST BENGAL,Bolpur (M),80210
WEST BENGAL,Budge Budge (M),76837
WEST BENGAL,Chakdaha (M),95203
WEST BENGAL,Contai (M),92226
WEST BENGAL,Dankuni (M),94936
WEST BENGAL,Dhulian (M),95706
WEST BENGAL,Gangarampur (M),56217
WEST BENGAL,Garulia (M),85336
WEST BENGAL,Gayespur (M),58998
WEST BENGAL,Ghatal (M),54591
WEST BENGAL,Islampur (M),54340
WEST BENGAL,Jangipur (M),88165
WEST BENGAL,Jhargram (M),61712
WEST BENGAL,Jiaganj-Azimganj (M),51790
WEST BENGAL,Kaliaganj (M),53530
WEST BENGAL,Kalna (M),56722
WEST BENGAL,Kandi (M),55632
WEST BENGAL,Katwa (M),81615
WEST BENGAL,Koch Bihar (M),77935
WEST BENGAL,Konnagar (M),76172
WEST BENGAL,New Barrackpore (M),76846
WEST BENGAL,Old Malda (M),84012
WEST BENGAL,Panskura (M),57932
WEST BENGAL,Rampurhat (M),57833
WEST BENGAL,Ranaghat (M),75365
WEST BENGAL,Suri (M),67864
WEST BENGAL,Tamluk (M),65306
ANDAMAN & NICOBAR ISLANDS,Port Blair (M Cl),108058
ANDHRA PRADESH,Srikakulam (M),125939
ANDHRA PRADESH,Vizianagaram (M),228025
ANDHRA PRADESH,Rajahmundry (M Corp.),341831
ANDHRA PRADESH,Kakinada (M Corp.),312538
ANDHRA PRADESH,Tadepalligudem (M),103906
ANDHRA PRADESH,Eluru (M Corp.),203780
ANDHRA PRADESH,Bhimavaram (M),142184
ANDHRA PRADESH,Gudivada (M),118167
ANDHRA PRADESH,Machilipatnam (M),169892
ANDHRA PRADESH,Narasaraopet (M),116250
ANDHRA PRADESH,Chilakaluripet (M),101398
ANDHRA PRADESH,Tenali (M),164937
ANDHRA PRADESH,Ongole (M),204746
ANDHRA PRADESH,Nellore (M Corp.),499575
ANDHRA PRADESH,Proddatur (M),162717
ANDHRA PRADESH,Kadapa (M Corp.),343054
ANDHRA PRADESH,Kurnool (M Corp.),430214
ANDHRA PRADESH,Adoni (M),166344
ANDHRA PRADESH,Nandyal (M),200516
ANDHRA PRADESH,Guntakal (M),126270
ANDHRA PRADESH,Tadpatri (M),108171
ANDHRA PRADESH,Anantapur (M Corp.),261004
ANDHRA PRADESH,Dharmavaram (M),121874
ANDHRA PRADESH,Hindupur (M),151677
ANDHRA PRADESH,Tirupati (M Corp.),287482
ANDHRA PRADESH,Madanapalle (M),136414
ANDHRA PRADESH,Chittoor (M),153756
ASSAM,Nagaon (MB),117722
ASSAM,Dibrugarh (MB),139565
ASSAM,Silchar (MB),172830
BIHAR,Bagaha (Nagar Parishad),112634
BIHAR,Bettiah (Nagar Parishad),132209
BIHAR,Motihari (Nagar Parishad),126158
BIHAR,Kishanganj (Nagar Parishad),105782
BIHAR,Purnia (M Corp.),282248
BIHAR,Katihar (M Corp.),226261
BIHAR,Saharsa (Nagar Parishad),156540
BIHAR,Darbhanga (M Corp.),296039
BIHAR,Muzaffarpur (M Corp.),354462
BIHAR,Siwan (Nagar Parishad),135066
BIHAR,Chapra (Nagar Parishad),202352
BIHAR,Hajipur (Nagar Parishad),147688
BIHAR,Begusarai (M Corp.) ,252008
BIHAR,Bhagalpur (M Corp.),400146
BIHAR,Munger (M Corp.),213303
BIHAR,Jamalpur (Nagar Parishad),105434
BIHAR,Biharsharif (M Corp.),297268
BIHAR,Dinapur Nizamat (Nagar Parishad),182429
BIHAR,Arrah (M Corp.),261430
BIHAR,Buxar (Nagar Parishad),102861
BIHAR,Sasaram (Nagar Parishad),147408
BIHAR,Dehri (Nagar Parishad),137231
BIHAR,Aurangabad (Nagar Parishad),102244
BIHAR,Gaya (M Corp.),468614
BIHAR,Jehanabad (Nagar Parishad) ,103202
CHHATTISGARH,Ambikapur (M Corp.),112449
CHHATTISGARH,Raigarh (M Corp.),137126
CHHATTISGARH,Korba (M Corp.),363390
CHHATTISGARH,Bilaspur (M Corp.),331030
CHHATTISGARH,Rajnandgaon (M Corp.),163114
CHHATTISGARH,Durg (M Corp.),268806
CHHATTISGARH,Jagdalpur (M Corp.),125463
DELHI,NDMC,257803
GUJARAT,Bhuj (M),143286
GUJARAT,Gandhidham (M),247992
GUJARAT,Palanpur (M),122344
GUJARAT,Deesa (M),111160
GUJARAT,Patan (M),125497
GUJARAT,Mahesana (M),184991
GUJARAT,Kalol (M),113153
GUJARAT,Gandhinagar (NA),206167
GUJARAT,Surendranagar Dudhrej (M),177851
GUJARAT,Morvi (M),194947
GUJARAT,Gondal (M),112197
GUJARAT,Jetpur Navagadh (M),118302
GUJARAT,Jamnagar (M Corp.),479920
GUJARAT,Porbandar (M),151770
GUJARAT,Junagadh (M Corp.),319462
GUJARAT,Veraval (M),154636
GUJARAT,Amreli (M),105573
GUJARAT,Botad (M),130327
GUJARAT,Anand (M),198282
GUJARAT,Nadiad (M),218095
GUJARAT,Godhra (M),143644
GUJARAT,Bharuch (M),169007
GUJARAT,Navsari (M),160941
GUJARAT,Valsad (M),114636
GUJARAT,Vapi (M),163630
HARYANA,Panchkula (M Cl),211355
HARYANA,Ambala (M Cl),195153
HARYANA,Ambala Sadar (M Cl),103093
HARYANA,Jagadhri (M Cl),124894
HARYANA,Yamunanagar (M Cl),216677
HARYANA,Thanesar (M Cl),155152
HARYANA,Kaithal (M Cl),144915
HARYANA,Karnal (M Cl),286827
HARYANA,Panipat (M Cl),294292
HARYANA,Sonipat (M Cl),278149
HARYANA,Jind (M Cl),167592
HARYANA,Sirsa (M Cl),182534
HARYANA,Hisar (M Cl),301383
HARYANA,Bhiwani (M Cl),196057
HARYANA,Rohtak (M Cl),374292
HARYANA,Bahadurgarh (M Cl),170767
HARYANA,Rewari (M Cl),143021
HARYANA,Palwal (M Cl),128730
HIMACHAL PRADESH,Shimla (M Corp.),169578
JAMMU AND KASHMIR,Anantnag (M Cl),109433
JHARKHAND,Giridih (Nagar Parishad),114533
JHARKHAND,Deoghar  (M Corp.),203123
JHARKHAND,Chas (Nagar Parishad),141640
JHARKHAND,Mango (NAC),223805
JHARKHAND,Hazaribag (Nagar Parishad),142489
JHARKHAND,Adityapur (Nagar Parishad),174355
KARNATAKA,Belgaum (M Corp.),488157
KARNATAKA,Bagalkot (CMC),111933
KARNATAKA,Bijapur (CMC),327427
KARNATAKA,Bidar (CMC),214373
KARNATAKA,Raichur (CMC),234073
KARNATAKA,Gangawati (CMC),105529
KARNATAKA,Gadag-Betigeri (CMC),172612
KARNATAKA,Ranibennur (CMC),106406
KARNATAKA,Hospet (CMC),206167
KARNATAKA,Bellary (M Corp.),410445
KARNATAKA,Chitradurga (CMC),140206
KARNATAKA,Davanagere (M Corp.),434971
KARNATAKA,Shimoga (CMC),322650
KARNATAKA,Bhadravati (CMC),151102
KARNATAKA,Udupi (CMC),125306
KARNATAKA,Chikmagalur (CMC),118401
KARNATAKA,Tumkur (CMC),302143
KARNATAKA,Mandya (CMC),137358
KARNATAKA,Hassan (CMC),133436
KARNATAKA,Mangalore (M Corp.),488968
KARNATAKA,Kolar (CMC),138462
KARNATAKA,Robertson Pet (CMC),143233
KERALA,Kozhikode (M Corp.),431560
KERALA,Palakkad (M),130955
KERALA,Thrissur (M Corp.),315957
KERALA,Alappuzha (M),174176
KERALA,Kollam (M Corp.),348657
MADHYA PRADESH,Morena (M),200482
MADHYA PRADESH,Bhind (M),197585
MADHYA PRADESH,Datia (M),100284
MADHYA PRADESH,Shivpuri (M),179977
MADHYA PRADESH,Chhatarpur (M),133464
MADHYA PRADESH,Sagar (M Corp.),273296
MADHYA PRADESH,Damoh (M),125101
MADHYA PRADESH,Satna (M Corp.),280222
MADHYA PRADESH,Rewa (M Corp.),235654
MADHYA PRADESH,Neemuch (M),128095
MADHYA PRADESH,Mandsaur (M),141667
MADHYA PRADESH,Ratlam (M Corp.),264914
MADHYA PRADESH,Nagda (M),100039
MADHYA PRADESH,Dewas (M Corp.),289550
MADHYA PRADESH,Pithampur (M),126200
MADHYA PRADESH,Khargone (M),106454
MADHYA PRADESH,Vidisha (M),155951
MADHYA PRADESH,Sehore (M),108909
MADHYA PRADESH,Betul (M),103330
MADHYA PRADESH,Hoshangabad (M),117988
MADHYA PRADESH,Murwara (Katni) (M Corp.),221883
MADHYA PRADESH,Chhindwara (M),138291
MADHYA PRADESH,Seoni (M),102343
MADHYA PRADESH,Guna (M),180935
MADHYA PRADESH,Singrauli (M Corp.),220257
MADHYA PRADESH,Khandwa (M Corp.),200738
MADHYA PRADESH,Burhanpur (M Corp.),210886
MAHARASHTRA,Nandurbar (M Cl),111037
MAHARASHTRA,Dhule (M Corp.) ,375559
MAHARASHTRA,Bhusawal (M Cl) ,187421
MAHARASHTRA,Jalgaon (M Corp.),460228
MAHARASHTRA,Akola (M Corp.),425817
MAHARASHTRA,Achalpur (M Cl),112311
MAHARASHTRA,Wardha (M Cl),106444
MAHARASHTRA,Hinganghat (M Cl),101805
MAHARASHTRA,Gondiya (M Cl),132813
MAHARASHTRA,Chandrapur (M Cl),320379
MAHARASHTRA,Yavatmal (M Cl),116551
MAHARASHTRA,Parbhani (M Cl),307170
MAHARASHTRA,Jalna (M Cl),285577
MAHARASHTRA,Malegaon (M Corp.),471312
MAHARASHTRA,Badlapur (M Cl),174226
MAHARASHTRA,Ambarnath(M Cl),253475
MAHARASHTRA,Panvel (M Cl),180020
MAHARASHTRA,Ahmadnagar (M Corp.),350859
MAHARASHTRA,Bid (M Cl),146709
MAHARASHTRA,Latur (M Cl),382940
MAHARASHTRA,Udgir (M Cl),103550
MAHARASHTRA,Osmanabad (M Cl),111825
MAHARASHTRA,Barshi (M Cl),118722
MAHARASHTRA,Satara (M Cl),120195
MAHARASHTRA,Ichalkaranji (M Cl),287353
MANIPUR,Imphal (MCI) ,268243
