State,Name of the ULB,Total Population 2011
WEST BENGAL,Puruliya (M),121067
WEST BENGAL,Bally (M),293373
WEST BENGAL,Uluberia (M),222240
WEST BENGAL,Maheshtala (M),448317
WEST BENGAL,Rajpur Sonarpur (M),424368
WEST BENGAL,Medinipur (M),169264
WEST BENGAL,Kharagpur (M),207604
WEST BENGAL,Haldia (M),200827
WEST BENGAL,Rajpur Sonarpur (M),424368
WEST BENGAL,Medinipur (M),169264
WEST BENGAL,Kharagpur (M),207604
WEST BENGAL,Haldia (M),200827
